,Brand,Price,Horsepower,Fuel Efficiency,Encodede_Brand,Scaled_HorsePower,Scaled_Fuel_Efficiency,Scaled_Brand,Performance_Index
0,Brand C,91942,382,15.3,6,0.705,0.21200000000000002,0.625,0.002958278044854364
1,Brand A,70075,197,32.6,4,0.2425,0.904,0.375,0.00210745629682483
2,Brand C,84524,188,34.9,6,0.22,0.996,0.625,0.0016808243812408308
3,Brand E,68939,258,15.1,2,0.395,0.204,0.125,0.002685417543045301
4,Brand X,66505,277,13.0,8,0.4425,0.12,0.875,0.002974212465228178
5,Brand W,92762,125,18.5,1,0.0625,0.34,0.0,0.0010031047196050107
6,Brand Y,99356,284,20.6,3,0.46,0.42400000000000004,0.25,0.00206308627561496
7,Brand A,38486,445,22.0,4,0.8625,0.48,0.375,0.00826534324169828
8,Brand A,54628,426,13.5,4,0.815,0.14,0.375,0.00553287691293842
9,Brand D,93925,250,22.1,9,0.375,0.48400000000000004,1.0,0.0019337769496939046
10,Brand D,91392,196,34.6,9,0.24,0.9840000000000001,1.0,0.001614802170868347
11,Brand W,44426,243,28.9,1,0.3575,0.7559999999999999,0.0,0.004023994957907531
12,Brand B,80911,380,14.0,5,0.7,0.16,0.5,0.003339471765272954
13,Brand Z,70801,434,12.1,7,0.835,0.08399999999999999,0.75,0.004342170308328978
14,Brand Y,56553,267,26.6,3,0.4175,0.664,0.25,0.0034459710360193086
15,Brand C,98956,302,19.7,6,0.505,0.38799999999999996,0.625,0.002196026516835765
16,Brand D,41342,397,20.9,9,0.7425,0.43599999999999994,1.0,0.006873639398190701
17,Brand Y,56788,371,16.6,3,0.6775,0.26400000000000007,0.25,0.00466084384024794
18,Brand W,73681,368,22.8,1,0.67,0.512,0.0,0.0035889849486299037
19,Brand C,63849,448,23.3,6,0.87,0.532,0.625,0.005021065326003539
20,Brand D,66440,392,31.5,9,0.73,0.86,1.0,0.004272275737507525
21,Brand D,32201,443,31.4,9,0.8575,0.856,1.0,0.009922673208906555
22,Brand C,58132,271,14.4,6,0.4275,0.17600000000000002,0.625,0.0033375765499208693
23,Brand W,55534,289,21.3,1,0.4725,0.452,0.0,0.0037578780566859937
24,Brand D,58482,326,28.2,9,0.565,0.728,1.0,0.004046715228617353
25,Brand D,62941,415,30.4,9,0.7875,0.816,1.0,0.004760331103732067
26,Brand Z,38558,425,33.3,7,0.8125,0.9319999999999999,0.75,0.007974739353700919
27,Brand Z,89631,159,30.4,7,0.1475,0.816,0.75,0.0013435083843759414
28,Brand Y,81392,123,28.8,3,0.0575,0.752,0.25,0.0011639964615687045
29,Brand Z,88737,133,15.3,7,0.0825,0.21200000000000002,0.75,0.0011008936520279027
30,Brand Y,83940,418,30.6,3,0.795,0.8240000000000001,0.25,0.0035951870383607335
31,Brand W,78623,406,28.6,1,0.765,0.7440000000000001,0.0,0.0037238467115220733
32,Brand E,54572,462,34.2,2,0.905,0.9680000000000001,0.125,0.006114124459429744
33,Brand X,90994,412,21.5,8,0.78,0.46,0.875,0.00324032353781568
34,Brand E,93796,301,19.8,2,0.5025,0.392,0.125,0.0023096933771162946
35,Brand Y,87899,375,34.5,3,0.6875,0.98,0.25,0.0031041308774843856
36,Brand X,53136,348,29.8,8,0.62,0.792,0.875,0.004752710027100271
37,Brand D,59191,372,18.0,9,0.68,0.32,1.0,0.004490547549458532
38,Brand W,31549,293,20.0,1,0.4825,0.4,0.0,0.006691178801229832
39,Brand Y,65818,191,23.1,3,0.2275,0.524,0.25,0.0021366495487556594
40,Brand W,32910,469,27.6,1,0.9225,0.7040000000000001,0.0,0.010227286539045881
41,Brand A,38830,145,28.0,4,0.1125,0.72,0.375,0.0028302858614473346
42,Brand B,49391,377,29.0,5,0.6925,0.76,0.5,0.0055192241501488114
43,Brand Z,91045,479,15.4,7,0.9475,0.21600000000000003,0.75,0.003733538360151573
44,Brand D,83677,451,14.2,9,0.8775,0.16799999999999998,1.0,0.0038237508514884612
45,Brand A,86547,237,22.0,4,0.3425,0.48,0.375,0.0019931366771811843
46,Brand B,63487,399,26.4,5,0.7475,0.6559999999999999,0.5,0.004524075795044654
47,Brand C,56290,206,19.9,6,0.265,0.39599999999999996,0.625,0.002667791792503109
48,Brand D,47458,388,24.8,9,0.72,0.5920000000000001,1.0,0.0058797252307303295
49,Brand E,61479,342,22.3,2,0.605,0.49200000000000005,0.125,0.004002830234714292
50,Brand X,87307,488,14.2,8,0.97,0.16799999999999998,0.875,0.003961423482653166
51,Brand D,71988,343,16.1,9,0.6075,0.24400000000000005,1.0,0.003402372617658499
52,Brand E,58456,138,30.1,2,0.095,0.804,0.125,0.0018070001368550705
53,Brand X,66884,389,34.0,8,0.7225,0.96,0.875,0.004223730638119729
54,Brand C,46162,417,25.6,6,0.7925,0.6240000000000001,0.625,0.00648975347688575
55,Brand X,77816,200,12.6,8,0.25,0.10399999999999998,0.875,0.0018476919913642438
56,Brand E,99746,417,12.6,2,0.7925,0.10399999999999998,0.125,0.002964329396667535
57,Brand C,34281,397,33.9,6,0.7425,0.956,0.625,0.008403197106268778
58,Brand B,49012,250,28.1,5,0.375,0.7240000000000001,0.5,0.0037425528442014203
59,Brand X,71598,372,19.7,8,0.68,0.38799999999999996,0.875,0.0037195173049526524
60,Brand B,49863,449,24.4,5,0.8725,0.576,0.5,0.00645007320056956
61,Brand W,91999,476,25.2,1,0.94,0.608,0.0,0.0037039533038402592
62,Brand B,55450,186,32.5,5,0.215,0.9,0.5,0.0025238954012623983
63,Brand A,38366,233,13.9,4,0.3325,0.15600000000000003,0.375,0.004359849867069801
64,Brand C,69103,132,15.9,6,0.08,0.23600000000000002,0.625,0.0014061618164189686
65,Brand C,31700,191,32.0,6,0.2275,0.88,0.625,0.004520504731861198
